央视,#genre#
CCTV-1,http://36.129.204.120:880/CCD303.m3u8
CCTV-2,http://36.129.204.120:880/DX2.m3u8
CCTV-3,http://36.129.204.120:880/DX101.m3u8
CCTV-4,http://36.129.204.120:880/DX4.m3u8
CCTV-5,http://36.129.204.120:880/DX99.m3u8
CCTV-6,http://36.129.204.120:880/DX98.m3u8
CCTV-7,http://36.129.204.120:880/DX7.m3u8
CCTV-8,http://36.129.204.120:880/DX8.m3u8
CCTV-9,http://36.129.204.120:880/DX9.m3u8
CCTV-10,http://36.129.204.120:880/DX11.m3u8
CCTV-11,http://36.129.204.120:880/DXX11.m3u8
CCTV-12,http://36.129.204.120:880/DX12.m3u8
CCTV-13,http://36.129.204.120:880/DX92.m3u8
CCTV-14,http://36.129.204.120:880/DXCCTV14.m3u8
CCTV-15,http://36.129.204.120:880/WGCCTV15.m3u8
CCTV-16,http://36.129.204.120:880/WGCCTV16.m3u8
CCTV-17,http://36.129.204.120:880/CCN16.m3u8
CCTV-5+,http://36.129.204.120:880/DX5.m3u8
CCTV-news,http://36.129.204.120:880/CCN18.m3u8

卫视,#genre#
北京卫视,http://36.129.204.120:880/DX15.m3u8
东方卫视,http://36.129.204.120:880/dx35.m3u8
广东卫视,http://36.129.204.120:880/CCN129.m3u8
深圳卫视,http://36.129.204.120:880/DX16.m3u8
天津卫视,http://36.129.204.120:880/DXTJWS.m3u8
黑龙江卫视,http://36.129.204.120:880/DXHLJWS.m3u8
辽宁卫视,http://36.129.204.120:880/DX14.m3u8
吉林卫视,http://36.129.204.120:880/DX17.m3u8
河北卫视,http://36.129.204.120:880/DXHBW.m3u8
河南卫视,http://36.129.204.120:880/DXHNWSs.m3u8
湖北卫视,http://36.129.204.120:880/DXHBWSs.m3u8
湖南卫视,http://36.129.204.120:880/DXHNWS.m3u8
山东卫视,http://36.129.204.120:880/DXSDWS.m3u8
山西卫视,http://36.129.204.120:880/CCN131.m3u8
陕西卫视,http://36.129.204.120:880/SXWS.m3u8
江苏卫视,http://36.129.204.120:880/JSWS.m3u8
浙江卫视,http://36.129.204.120:880/DXZJWS.m3u8
江西卫视,http://36.129.204.120:880/CCN118.m3u8
安徽卫视,http://36.129.204.120:880/DXXAH.m3u8
东南卫视,http://36.129.204.120:880/CCN149.m3u8
厦门卫视,http://36.129.204.120:880/DX61.m3u8
四川卫视,http://36.129.204.120:880/DXSCWS.m3u8
重庆卫视,http://36.129.204.120:880/CCN144.m3u8
贵州卫视,http://36.129.204.120:880/DXGZWS.m3u8
广西卫视,http://36.129.204.120:880/DXGCWS.m3u8
云南卫视,http://36.129.204.120:880/CCN128.m3u8
青海卫视,http://36.129.204.120:880/CCN146.m3u8
西藏卫视,http://172.16.51.254:880/huahan63.m3u8
新疆卫视,http://36.129.204.120:880/CCN145.m3u8
甘肃卫视,http://36.129.204.120:880/CCN139.m3u8
宁夏卫视,http://36.129.204.120:880/DXNXWS.m3u8
内蒙古卫视,http://36.129.204.120:880/CCN135.m3u8
海南卫视,http://36.129.204.120:880/DXHNGS.m3u8
延边卫视,http://36.129.204.120:880/CCN45.m3u8
农林卫视,http://36.129.204.120:880/DX50.m3u8
兵团卫视,http://36.129.204.120:880/DX51.m3u8

剧场,#genre#
CHC动作电影,http://36.129.204.120:880/CCN151.m3u8
CHC高清电影,http://36.129.204.120:880/CCN152.m3u8
CHC家庭影院,http://36.129.204.120:880/CCN153.m3u8
第一剧场,http://36.129.204.120:880/DXDYJC.m3u8
怀旧剧场,http://36.129.204.120:880/CCN73.m3u8
风云剧场,http://36.129.204.120:880/CCN67.m3u8
都市剧场,http://36.129.204.120:880/dx107.m3u8
老故事,http://172.16.51.254:880/huahan92.m3u8
欢笑剧场,http://36.129.204.120:880/dxhxjc.m3u8

北京纪实,http://36.129.204.120:880/CCN121.m3u8
高尔夫网球,http://36.129.204.120:880/dx301.m3u8
快乐垂钓,http://36.129.204.120:880/dx203.m3u8
武术世界,http://36.129.204.120:880/dx206.m3u8
先锋乒羽,http://36.129.204.120:880/dx102.m3u8
风云足球,http://36.129.204.120:880/dx71.m3u8
央视台球,http://36.129.204.120:880/DX34.m3u8
游戏风云,http://36.129.204.120:880/dx111.m3u8
梨园频道,http://36.129.204.120:880/DXLY.m3u8
环球旅游,http://36.129.204.120:880/CCN74.m3u8
电子竞技,http://172.16.51.254:880/huahan244.m3u8
劲爆体育,http://172.16.51.254:880/huahan126.m3u8
