央视,#genre#
广东卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_GUANGDONG-HQ/G_GUANGDONG-HQ.m3u8
湖北卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HUBEI-HQ/G_HUBEI-HQ.m3u8
安徽卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ANHUI-HQ/G_ANHUI-HQ.m3u8
江苏卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8
深圳卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
广西卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_GUANGXI-HQ/G_GUANGXI-HQ.m3u8
四川卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SICHUAN-HQ/G_SICHUAN-HQ.m3u8
湖南卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HUNAN-HQ/G_HUNAN-HQ.m3u8
浙江卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
天津卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
山东卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHANDONG-HQ/G_SHANDONG-HQ.m3u8
陕西卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHANXI-HQ/G_SHANXI-HQ.m3u8
海南卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8
黑龙江台,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HEILONGJIANG-HQ/G_HEILONGJIANG-HQ.m3u8
河北卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HEBEI-HQ/G_HEBEI-HQ.m3u8
江西卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_JIANGXI-HQ/G_JIANGXI-HQ.m3u8
吉林卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_JILIN-HQ/G_JILIN-HQ.m3u8
甘肃卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_GANSU-HQ/G_GANSU-HQ.m3u8
贵州卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_GUIZHOU-HQ/G_GUIZHOU-HQ.m3u8
东南卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_DONGNAN-HQ/G_DONGNAN-HQ.m3u8
辽宁卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_LIAONING-HQ/G_LIAONING-HQ.m3u8
云南卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_YUNNAN-HQ/G_YUNNAN-HQ.m3u8

省内,#genre#
第一财经,https://www.yicai.com/api/dycj/liveIndex.m3u8
翡翠台,http://91tv.x3322.net:9921/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,http://91tv.x3322.net:9921/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://91tv.x3322.net:9921/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://91tv.x3322.net:9921/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
澳亚卫视,http://91tv.x3322.net:9921/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://91tv.x3322.net:9921/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
广东民生,http://91tv.x3322.net:9921/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://91tv.x3322.net:9921/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://91tv.x3322.net:9921/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://91tv.x3322.net:9921/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://91tv.x3322.net:9921/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
广州法治,http://91tv.x3322.net:9921/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
广州竞赛,http://91tv.x3322.net:9921/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
广州新闻,http://91tv.x3322.net:9921/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广州影视,http://91tv.x3322.net:9921/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://91tv.x3322.net:9921/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://91tv.x3322.net:9921/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://91tv.x3322.net:9921/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://91tv.x3322.net:9921/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://91tv.x3322.net:9921/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0

    .  _7777,#genre#
欧美频道1,http://cdn.adultiptv.net/bigass.m3u8 
欧美频道2,http://cdn.adultiptv.net/blowjob.m3u8 
欧美频道3,http://cdn.adultiptv.net/latina.m3u8 
欧美频道4,http://cdn.adultiptv.net/fetish.m3u8 
欧美频道5,http://cdn.adultiptv.net/gay.m3u8 
欧美频道6,http://cdn.adultiptv.net/interracial.m3u8 
欧美频道7,http://cdn.adultiptv.net/threesome.m3u8 
欧美频道8,http://cdn.adultiptv.net/pornstar.m3u8 
欧美频道9,http://cdn.adultiptv.net/milf.m3u8 
欧美频道10,http://cdn.adultiptv.net/teen.m3u8 
欧美频道11,http://cdn.adultiptv.net/anal.m3u8
欧美频道12,http://cdn.adultiptv.net/asian.m3u8
欧美频道13,http://cdn.adultiptv.net/bigass.m3u8
欧美频道14,http://cdn.adultiptv.net/bigtits.m3u8
欧美频道15,http://cdn.adultiptv.net/blonde.m3u8
欧美频道16,http://cdn.adultiptv.net/blowjob.m3u8 
欧美频道17,http://cdn.adultiptv.net/brunette.m3u8
欧美频道18,http://cdn.adultiptv.net/compilation.m3u8
欧美频道19,http://cdn.adultiptv.net/cuckold.m3u8
欧美频道20,http://cdn.adultiptv.net/fetish.m3u8
欧美频道21,http://cdn.adultiptv.net/gangbang.m3u8
欧美频道22,http://cdn.adultiptv.net/gay.m3u8
欧美频道23,http://cdn.adultiptv.net/hardcore.m3u8
欧美频道24,http://cdn.adultiptv.net/interracial.m3u8
欧美频道25,http://cdn.adultiptv.net/latina.m3u8
欧美频道26,http://cdn.adultiptv.net/lesbian.m3u8
欧美频道27,http://cdn.adultiptv.net/livecams.m3u8
欧美频道28,http://cdn.adultiptv.net/milf.m3u8
欧美频道29,http://cdn.adultiptv.net/pornstar.m3u8
欧美频道30,http://cdn.adultiptv.net/pov.m3u8
欧美频道31,http://cdn.adultiptv.net/rough.m3u8
欧美频道32,http://cdn.adultiptv.net/russian.m3u8
欧美频道33,http://cdn.adultiptv.net/teen.m3u8
欧美频道34,http://cdn.adultiptv.net/brunette.m3u8
欧美频道35,http://cdn.adultiptv.net/bigtits.m3u8 
欧美频道36,http://cdn.adultiptv.net/rough.m3u8 
欧美频道37,http://cdn.adultiptv.net/brunette.m3u8 

午夜1,http://live.redtraffic.xyz:80/interracial.m3u8
午夜2,http://live.redtraffic.xyz:80/bigtits.m3u8
午夜3,http://live.redtraffic.xyz/latina.m3u8?fluxuslust.m3u8
午夜4,http://live.redtraffic.xyz/fetish.m3u8?fluxuslust.m3u8
午夜5,http://live.redtraffic.xyz/lesbian.m3u8?fluxuslust.m3u8
午夜6,http://cdn.adultiptv.net/lesbian.m3u8
午夜7,http://live.redtraffic.xyz:80/teen.m3u8
午夜8,http://live.redtraffic.xyz:80/pornstar.m3u8
午夜9,http://live.redtraffic.xyz/milf.m3u8?fluxuslust.m3u8
午夜10,http://live.redtraffic.xyz:80/cuckold.m3u8
午夜11,http://live.redtraffic.xyz/pornstar.m3u8?fluxuslust.m3u8

东热01,https://video1.rhsj520.com/nyrm3/2011225/DR/n0011/index.m3u8
东热02,https://video1.rhsj520.com/nyrm3/2011225/DR/n0010/index.m3u8
东热03,https://video1.rhsj520.com/nyrm3/2011225/DR/n0008/index.m3u8
东热04,https://video1.rhsj520.com/nyrm3/2011225/DR/n0001/index.m3u8
一本00,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8
二本01,https://vip4.ddyunbo.com/20210209/dEzJjeSU/index.m3u8
三本02,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8
一本03,http://live.redtraffic.xyz:80/bigass.m3u8
二本04,http://live.redtraffic.xyz:80/blowjob.m3u8
欧美1,http://live.redtraffic.xyz/threesome.m3u8?fluxuslust.m3u8
欧美2,http://live.redtraffic.xyz/bigass.m3u8?fluxuslust.m3u8
松视1,http://live.redtraffic.xyz:80/fetish.m3u8
松视2,http://live.redtraffic.xyz:80/bigdick.m3u8
玩美台,http://live.redtraffic.xyz:80/pov.m3u8
限制级,http://cdn.adultiptv.net/blonde.m3u8?streamType=livеhls

爱情公寓1,https://t11.cdn2020.com:12336/video/m3u8/2021/10/02/4907f503/index.m3u8
爱情公寓2,https://t11.cdn2020.com:12336/video/m3u8/2021/10/02/a6b1d923/index.m3u8
爱情公寓3,https://t12.cdn2020.com:12337/video/m3u8/2021/10/06/2c997077/index.m3u8
爱情公寓4,https://t12.cdn2020.com:12337/video/m3u8/2021/10/06/106977bb/index.m3u8
爱情公寓5, https://t12.cdn2020.com:12337/video/m3u8/2021/10/06/01e75fc2/index.m3u8
网袜白虎,https://t21.cdn2020.com/video/m3u8/2023/03/03/b233b478/index.m3u8
FSOG-065,https://t21.cdn2020.com/video/m3u8/2023/03/03/42c5f64b/index.m3u8
FSOG-066,https://t21.cdn2020.com/video/m3u8/2023/03/03/60dce235/index.m3u8
FSOG-067,https://t21.cdn2020.com/video/m3u8/2023/03/06/a800ea05/index.m3u8
MCY-0134,https://t21.cdn2020.com/video/m3u8/2023/01/20/701e7558/index.m3u8
